model,question,language,answer,reference,is_hallucination,reasons
Raw mGPT,Does RBI have any relationship with GAHs?,en,"No, RBI has no relationship with GAHs. GAHs are chemotherapy-resistant bacteria that can be resistant to the chemotherapy. RBI does not work with GAHs.","While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, th",0,OK
Raw mGPT,"If a company is a CIC but does not exactly meet the criteria specified, does the",en,"Yes. However, you will need to register your company as an NBFC, at the CIC.","Ans: A holding company not meeting the criteria for a CIC laid down in para 2 of Master Direction DoR(NBFC).PD.003/03.10.119/2016-17 dated August 25, 2016 would require to register as an NBFC. However",1,Very short answer (15 words) — possible evasion
Raw mGPT,Whether banks can purchase letter of allotment in respect of PSU Bonds?,en,"Yes, banks can purchase PSUs. However, banks cannot purchase any other PSUs. Therefore, the amount of money to be transferred from the bank to the PSU is not covered by the PSU.",Banks can purchase letter of allotment in respect of PSU bonds subject to following conditions.,0,OK
Raw mGPT,"In RTGS, why is credit to the beneficiary given solely based on account number?",en,"This is not considered a credit when RTGS is used for payment of interest in the account. When a bank or any other company uses RTGS, credit is not based on account number, but is calculated based on ",Ans. Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently ,0,OK
Raw mGPT,Do all bank branches in India provide RTGS service? How can a remitting customer,en,The company has the right to inform the beneficiary about the possibility of using RTGS in the bank branch of the beneficiary. The beneficiary can login to the application form and enter his/her phone,"Ans. For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,60,000 RTGS enabled bank branches, th",0,OK
Raw mGPT,Does the beneficiary need to maintain an account with a bank branch in Nepal?,en,"The beneficiary can do so if he or she is the owner of an account in his or her own country, with a bank branch in Nepal.
#","Ans: No, this is not mandatory. It would, however, be ideal if the beneficiary maintains an account with a bank branch in Nepal to which the credit could be afforded. In Nepal, the INRF Scheme is hand",0,OK
Raw mGPT,Whether interest rate stipulations applicable to loans in rupees under FCNR(B) s,en,Institutions of finance are allowed to invest in the foreign currency denominated in foreign currency in the interest rate regime. Interest rate stipulations applicable to loans in rupees under FCNR(B,No. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are not applicable to loans denominated in foreign currency which are governed by the instructions issued by Exchange ,0,OK
Raw mGPT,WHAT IS THE BACKGROUND FOR ADF?,en,The back ground for ADF is that the ADF is one of two main components of the Digital Camera. The other component is the camera's memory.,"In several of its functions, Reserve Bank of India relies on data submitted by banks and quality of data is of great importance. In order to meet the need for correct and consistent data, the Reserve ",0,OK
Raw mGPT,Will the orders placed by clients be visible to PM?,en,"YES! The order placed by the client will be visible to PM.
##","The Primary Member being responsible for the settlement of the trades done by the GAH on the NDS OM Web Based Module, will have a view of the Orders placed by the GAH as well as the trades done by the",1,Very short answer (13 words) — possible evasion
Raw mGPT,Explain: Financial Education Programme for Adults (FEPA) was launched?,en,The Financial Education Programme for Adults (FEPA) was launched in 2008 to support the development of economically literate adults. The programme commenced in 2010 and was funded by the government of,The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness am,1,"Novel numbers not in reference: {'2010', '2008'}"
Raw mGPT,What is Duration?,en,"Duration is the time that a given resource is available to a user.
#","27.1 Duration (also known as Macaulay Duration) of a bond is a measure of the time taken to recover the initial investment in present value terms. In simplest form, duration refers to the payback peri",1,Very short answer (14 words) — possible evasion
Raw mGPT,Can you repay your loan ahead of schedule? Is pre-payment of loan allowed?,en,"Pre-payment of loan is allowed. If you are not satisfied with the loan amount or are not satisfied with the loan terms, you can request a refund. If you are not satisfied with the payment amount, you ","Yes, most banks allow you to repay the loan ahead of schedule by making lump sum payments. However, many banks charge early repayment penalties up to 2-3% of the principal amount outstanding. Prepayme",0,OK
Raw mGPT,How does one get information about the price of a G-Sec?,en,"Once you have the price of the G-Sec, you can get access to it through the Internet. You can visit the website www.g-sec.com and go to the “Contact Us” section.
#","14.1 The return on a security is a combination of two elements (i) coupon income – that is, interest earned on the security and (ii) the gain / loss on the security due to price changes and reinvestme",0,OK
Raw mGPT,Are the instructions on microfinance loans issued under various Directions appli,en,"No, the instructions issued under the Directions are applicable only to microfinance institutions operating in the UK, Ireland, Denmark or Sweden.
Q: How does the new guidance apply to the UK and Irel","The instructions on microfinance loans issued under various Directions are applicable only to the regulated entities mentioned below: All Commercial Banks (including Small Finance Banks, Local Area Ba",0,OK
Raw mGPT,What are the Do's and Don’ts prescribed by RBI for the Co-operative banks dealin,en,"The G-Secs are not a registered business entity, but they are an individual who creates a new company in the name of the same person. The G-Secs is a new company registered in the name of a co-operati","While undertaking transactions in securities, UCBs should adhere to the instructions issued by the RBI. The guidelines on transactions in G-Secs by the UCBs have been codified in the master circular D",0,OK
Raw mGPT,यदि किसी अनिवासी के खाते में या खाते से भारत में किसी प्राधिकृत व्यापारी बैंक के,hi,"आपको एल.ई.आई प्राप्त करना अनिवार्य नहीं है.
#","उत्तर. यदि किसी अनिवासी के भारत में रखे खाते में या खाते से कोई क्रेडिट अथवा डेबिट किसी निवासी के साथ लेनदेन के परिणामस्वरूप होता है तो उस पर विदेशी मुद्रा प्रबंध अधिनियम, 1999 (फेमा) के प्रावधान लागू",1,Very short answer (8 words) — possible evasion
Raw mGPT,क्या 'पूर्ण-केवाईसी' पीपीआई से निधि अंतरण की अनुमति है?,hi,"हाँ. निधि अंतरण की अनुमति पीपीआई से की जाती है.
#","उत्तर. हां, एक 'पूर्ण-केवाईसी' पीपीआई से प्रति धारक ₹10,000/- प्रति माह की सीमा के भीतर निधि अंतरण की अनुमति है। तथापि, पीपीआई धारक द्वारा लाभार्थी के 'पूर्व-पंजीकृत' होने पर प्रति लाभार्थी ₹2,00,000/",1,Very short answer (11 words) — possible evasion
Raw mGPT,"क्या प्राधिकृत गैर-बैंक पीएसपी, जो प्रत्यक्ष सदस्य हैं, सीपीएस में उप-सदस्यों के",hi,"यह बैंक मामले में प्रायोजित सदस्यों के लिए है।
#",उत्तर. गैर-बैंक पीएसपी को केवल सीपीएस की प्रत्यक्ष सदस्यता की अनुमति होगी। उन्हें सीपीएस में उप-सदस्य के रूप में किसी भी बैंक/पीएसपी को प्रायोजित करने की अनुमति नहीं होगी।,1,Very short answer (10 words) — possible evasion
Raw mGPT,आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया क्या है?,hi,"आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया स्वतः ही की जाती है।
Q.6) खाते में रुपये निकालने की प्रक्रिया क्या है?
A. रिटर्न की प्रक्रिया को बाद में शु",शिकायत निम्नलिखित किसी भी तरीके से दर्ज की जा सकती है: ऑनलाइन – आरबीआई की शिकायत प्रबंध प्रणाली (सीएमएस) पोर्टल (https://cms.rbi.org.in) के माध्यम से। योजना के अनुबंध ‘क’ में निर्दिष्ट फार्म में ‘केंद,1,Novel numbers not in reference: {'6'}
Raw mGPT,क्या अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए?,hi,"हाँ, आपको आपकी वेबसाइट पर विवरण अपलोड करने की आवश्यकता नहीं है। इसके अलावा, विवरणों को विस्तारित करने के बाद, आपको अपने कार्य के प्रकार के लिए संदर्भ अपलोड करने की आवश्यकता है क्योंकि आपके","हाँ, सरफेसी अधिनियम, 2002 की धारा 13 (4) के अंतर्गत चल और अचल दोनों प्रतिभूति आस्तियां, जिस पर चल संपत्ति के मामले में प्रतिभूति (प्रवर्तन) नियम 2002 के नियम 3 (1) अथवा नियम 6 (2) और अचल संपत्ति के मा",0,OK
Raw mGPT,क्या वैयक्तिक सुनवाई के लिए उपस्थित होना अनिवार्य है?,hi,"कोई भी सुनवाई के लिए उपस्थित होना अनिवार्य नहीं है। यह स्पष्ट है कि वास्तव में कोई भी सुनवाई नहीं होगी। परिणामस्वरूप, अगर कोई सुनवाई के लिए उपस्थित हो रहा है और अजीब से अजीब स","उत्तर: वैयक्तिक सुनवाई या तो भौतिक रूप से या वर्चुअल माध्यम से की जा सकती है। यद्यपि, वैयक्तिक सुनवाई के लिए उपस्थित होना या इसका विकल्प चुनना अनिवार्य नहीं है। यदि कोई व्यक्ति व्यक्तिगत सुनवाई के लिए",0,OK
Raw mGPT,फ्रैंचाइज़ी करार की मुख्य विशेषताएं क्या हैं?,hi,"फ्रैंचाइज़ी एक निवेश के लिए स्थापित किए गए समूह हैं। यह एक सेवा संस्थान है जो निवेश के लिए निवेश सलाहकारों की एक सेवा प्रदान करता है। यदि आपको फ्रैंचाइज़ी का लाभ मिलता है,","इस योजना के तहत, रिज़र्व बैंक एडी श्रेणी-I, एडी श्रेणी-II और एफएफएमसी को उनके विकल्प पर सीमित मुद्रा परिवर्तन कारोबार अर्थात विदेशी मुद्रा नोटों, सिक्कों या यात्री चेकों का परिवर्तन भारतीय रुपये में क",0,OK
Raw mGPT,सरकारी प्रतिभूति अधि‍नि‍यम के प्रावधानों का उल्लंघंन करने के लि‍ए दंड के क्या प्,hi,दंड का प्रावधान दंड प्राधिकरण के पास है।,"यदि कोई व्यक्ति कि‍सी सरकारी प्रति‍भूति‍ का अपने पक्ष में हक पाने अथवा कि‍सी अन्य व्यक्ति को यह हक दि‍लाने के लि‍ए मि‍थ्यावचन करता है, तो वह, अधिकतम 6 माह तक कारावास या जुर्माना या दोनों का पात्र होगा",1,Very short answer (8 words) — possible evasion
Raw mGPT,चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में क्या अंतर है?,hi,चिट फंड के साथ धन स्वीकार करने और जमाराशियाँ स्वीकार करने में कुछ अंतर नहीं है। चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में कुछ अंतर नहीं है।,"भारतीय रिज़र्व बैंक अधिनियम 1934 के तहत जमाराशियों को परिभाषित किया गया है बशर्ते यह शेयर कैपिटल के रूप में जुटाया गया धन, बैंकों तथा अन्य वित्तीय संस्थाओं से प्राप्त राशि, प्रतिभूति जमा के रूप में प्र",0,OK
Raw mGPT,जुलाई 2017 के मास्टर निदेश विसविवि.एमएसएमई एंड एनएफएस.12/06.02.31/2017-18 के अनु,hi,बैंकों द्वारा जारी एनपीए का आकलन करने और बैंकों के साथ बातचीत करने के लिए एक टीम को नियुक्त किया गया है। यह टीम आरबीआई के मुख्य अर्थशास्त्री अरुण जेटली द्वारा नियुक्त किया,"साथ ही, बैंकों को यह भी सूचित किया गया है कि वे एमएसएमई उधारकर्ताओं को लिखित रूप में मुख्‍य कारण/ कारणों को सूचित करें जिन पर बैंक द्वारा विधिवत विचार किए जाने के बाद ऋण संबंधी आवदेनों को अस्‍वीकृत कि",0,OK
Prompted mGPT,Does RBI have any relationship with GAHs?,en,RBI has no relationship with GAHs.,"While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, th",1,Very short answer (6 words) — possible evasion
Prompted mGPT,"If a company is a CIC but does not exactly meet the criteria specified, does the",en,The NBFC would be a commercial bank that is authorized by the central government to do business in the industry.,"Ans: A holding company not meeting the criteria for a CIC laid down in para 2 of Master Direction DoR(NBFC).PD.003/03.10.119/2016-17 dated August 25, 2016 would require to register as an NBFC. However",0,OK
Prompted mGPT,Whether banks can purchase letter of allotment in respect of PSU Bonds?,en,Bank can purchase letter of allotment in respect of PSU Bonds in the Banking Act.,Banks can purchase letter of allotment in respect of PSU bonds subject to following conditions.,1,Very short answer (15 words) — possible evasion
Prompted mGPT,"In RTGS, why is credit to the beneficiary given solely based on account number?",en,"As stated in the above question, the beneficiary will have to submit all the required documents before the credit to the bank to be given.",Ans. Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently ,0,OK
Prompted mGPT,Do all bank branches in India provide RTGS service? How can a remitting customer,en,The Bank of India provides RTGS services to all its branches in India.,"Ans. For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,60,000 RTGS enabled bank branches, th",1,Very short answer (13 words) — possible evasion
Prompted mGPT,Does the beneficiary need to maintain an account with a bank branch in Nepal?,en,The bank may maintain an account with a bank branch in Nepal.,"Ans: No, this is not mandatory. It would, however, be ideal if the beneficiary maintains an account with a bank branch in Nepal to which the credit could be afforded. In Nepal, the INRF Scheme is hand",1,Very short answer (12 words) — possible evasion; Answer mostly repeats question (overlap=82%)
Prompted mGPT,Whether interest rate stipulations applicable to loans in rupees under FCNR(B) s,en,Yes. The interest rates applicable for loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency.,No. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are not applicable to loans denominated in foreign currency which are governed by the instructions issued by Exchange ,1,Answer mostly repeats question (overlap=71%)
Prompted mGPT,WHAT IS THE BACKGROUND FOR ADF?,en,The back ground for ADF is a number of factors.,"In several of its functions, Reserve Bank of India relies on data submitted by banks and quality of data is of great importance. In order to meet the need for correct and consistent data, the Reserve ",1,Very short answer (10 words) — possible evasion
Prompted mGPT,Will the orders placed by clients be visible to PM?,en,"Yes, the orders will be visible to PM in the financial statements.","The Primary Member being responsible for the settlement of the trades done by the GAH on the NDS OM Web Based Module, will have a view of the Orders placed by the GAH as well as the trades done by the",1,Very short answer (12 words) — possible evasion
Prompted mGPT,Explain: Financial Education Programme for Adults (FEPA) was launched?,en,"Sure, the FEPA was launched by the Reserve Bank of India.",The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness am,1,Very short answer (11 words) — possible evasion
Prompted mGPT,What is Duration?,en,Duration is the time frame which banks need to make repayments to borrowers.,"27.1 Duration (also known as Macaulay Duration) of a bond is a measure of the time taken to recover the initial investment in present value terms. In simplest form, duration refers to the payback peri",1,Very short answer (13 words) — possible evasion
Prompted mGPT,Can you repay your loan ahead of schedule? Is pre-payment of loan allowed?,en,Yes. Pre-payment of loans is allowed when you are able to repay it on time. But you need to contact your bank to get your pre-payment as soon as possible.,"Yes, most banks allow you to repay the loan ahead of schedule by making lump sum payments. However, many banks charge early repayment penalties up to 2-3% of the principal amount outstanding. Prepayme",0,OK
Prompted mGPT,How does one get information about the price of a G-Sec?,en,You can get information about the G-Sec by visiting the website of the Reserve Bank of India.,"14.1 The return on a security is a combination of two elements (i) coupon income – that is, interest earned on the security and (ii) the gain / loss on the security due to price changes and reinvestme",1,Very short answer (17 words) — possible evasion
Prompted mGPT,Are the instructions on microfinance loans issued under various Directions appli,en,"The instructions applicable to all entities operating in the microfinance sector, including trusts and societies, are as follows:","The instructions on microfinance loans issued under various Directions are applicable only to the regulated entities mentioned below: All Commercial Banks (including Small Finance Banks, Local Area Ba",1,Very short answer (18 words) — possible evasion; Answer mostly repeats question (overlap=76%)
Prompted mGPT,What are the Do's and Don’ts prescribed by RBI for the Co-operative banks dealin,en,The Do's and Don’ts are:,"While undertaking transactions in securities, UCBs should adhere to the instructions issued by the RBI. The guidelines on transactions in G-Secs by the UCBs have been codified in the master circular D",1,Very short answer (5 words) — possible evasion; Answer mostly repeats question (overlap=80%)
Prompted mGPT,यदि किसी अनिवासी के खाते में या खाते से भारत में किसी प्राधिकृत व्यापारी बैंक के,hi,एल.ई.आई. प्राप्त करने वाले व्यक्तियों को एल.ई.आई. के जरिए लेनदेन करने की क्षमता होती है।,"उत्तर. यदि किसी अनिवासी के भारत में रखे खाते में या खाते से कोई क्रेडिट अथवा डेबिट किसी निवासी के साथ लेनदेन के परिणामस्वरूप होता है तो उस पर विदेशी मुद्रा प्रबंध अधिनियम, 1999 (फेमा) के प्रावधान लागू",1,Very short answer (15 words) — possible evasion
Prompted mGPT,क्या 'पूर्ण-केवाईसी' पीपीआई से निधि अंतरण की अनुमति है?,hi,पीपीआई से निधि अंतरण की अनुमति है जो लघु-केवाईसी (एफपीआई) के लिए उपलब्ध है।,"उत्तर. हां, एक 'पूर्ण-केवाईसी' पीपीआई से प्रति धारक ₹10,000/- प्रति माह की सीमा के भीतर निधि अंतरण की अनुमति है। तथापि, पीपीआई धारक द्वारा लाभार्थी के 'पूर्व-पंजीकृत' होने पर प्रति लाभार्थी ₹2,00,000/",1,Very short answer (14 words) — possible evasion
Prompted mGPT,"क्या प्राधिकृत गैर-बैंक पीएसपी, जो प्रत्यक्ष सदस्य हैं, सीपीएस में उप-सदस्यों के",hi,"ऐसा करने के लिए, RBI को प्राधिकृत सदस्यों के रूप में सीपीएस में उप-सदस्यों का प्रावधान है।",उत्तर. गैर-बैंक पीएसपी को केवल सीपीएस की प्रत्यक्ष सदस्यता की अनुमति होगी। उन्हें सीपीएस में उप-सदस्य के रूप में किसी भी बैंक/पीएसपी को प्रायोजित करने की अनुमति नहीं होगी।,1,Very short answer (17 words) — possible evasion
Prompted mGPT,आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया क्या है?,hi,आरबीआई ओम्बड्समैन को शिकायत दर्ज करने की प्रक्रिया आरबीआई की वेबसाइट पर उपलब्ध है।,शिकायत निम्नलिखित किसी भी तरीके से दर्ज की जा सकती है: ऑनलाइन – आरबीआई की शिकायत प्रबंध प्रणाली (सीएमएस) पोर्टल (https://cms.rbi.org.in) के माध्यम से। योजना के अनुबंध ‘क’ में निर्दिष्ट फार्म में ‘केंद,1,Very short answer (14 words) — possible evasion
Prompted mGPT,क्या अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए?,hi,क्योंकि अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए।,"हाँ, सरफेसी अधिनियम, 2002 की धारा 13 (4) के अंतर्गत चल और अचल दोनों प्रतिभूति आस्तियां, जिस पर चल संपत्ति के मामले में प्रतिभूति (प्रवर्तन) नियम 2002 के नियम 3 (1) अथवा नियम 6 (2) और अचल संपत्ति के मा",1,Very short answer (16 words) — possible evasion; Answer mostly repeats question (overlap=87%)
Prompted mGPT,क्या वैयक्तिक सुनवाई के लिए उपस्थित होना अनिवार्य है?,hi,सुनवाई के लिए उपस्थित होना अनिवार्य नहीं है।,"उत्तर: वैयक्तिक सुनवाई या तो भौतिक रूप से या वर्चुअल माध्यम से की जा सकती है। यद्यपि, वैयक्तिक सुनवाई के लिए उपस्थित होना या इसका विकल्प चुनना अनिवार्य नहीं है। यदि कोई व्यक्ति व्यक्तिगत सुनवाई के लिए",1,Very short answer (8 words) — possible evasion; Answer mostly repeats question (overlap=75%)
Prompted mGPT,फ्रैंचाइज़ी करार की मुख्य विशेषताएं क्या हैं?,hi,भारतीय शेयर बाजार में फ्रैंचाइज़ी करार पर प्रतिबंध लगाकर व्यापारियों की निराशा होती है।,"इस योजना के तहत, रिज़र्व बैंक एडी श्रेणी-I, एडी श्रेणी-II और एफएफएमसी को उनके विकल्प पर सीमित मुद्रा परिवर्तन कारोबार अर्थात विदेशी मुद्रा नोटों, सिक्कों या यात्री चेकों का परिवर्तन भारतीय रुपये में क",1,Very short answer (14 words) — possible evasion
Prompted mGPT,सरकारी प्रतिभूति अधि‍नि‍यम के प्रावधानों का उल्लंघंन करने के लि‍ए दंड के क्या प्,hi,"दंड के प्रावधानों के लि‍ए प्रावधान है कि‍ राज्‍य सरकार द्वारा व्‍यक्ति‍ कानून के उल्लंघन के लि‍ए जि‍सकी सजा कुछ अधि‍क है उसे कि‍सी भी तरह का दंड नहीं दि‍या जा सकता।

##","यदि कोई व्यक्ति कि‍सी सरकारी प्रति‍भूति‍ का अपने पक्ष में हक पाने अथवा कि‍सी अन्य व्यक्ति को यह हक दि‍लाने के लि‍ए मि‍थ्यावचन करता है, तो वह, अधिकतम 6 माह तक कारावास या जुर्माना या दोनों का पात्र होगा",0,OK
Prompted mGPT,चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में क्या अंतर है?,hi,चिट फंड द्वारा धन स्वीकार करने में किसी भी प्रकार का अंतर व्यक्तिगत नहीं है।,"भारतीय रिज़र्व बैंक अधिनियम 1934 के तहत जमाराशियों को परिभाषित किया गया है बशर्ते यह शेयर कैपिटल के रूप में जुटाया गया धन, बैंकों तथा अन्य वित्तीय संस्थाओं से प्राप्त राशि, प्रतिभूति जमा के रूप में प्र",1,Very short answer (15 words) — possible evasion
Prompted mGPT,जुलाई 2017 के मास्टर निदेश विसविवि.एमएसएमई एंड एनएफएस.12/06.02.31/2017-18 के अनु,hi,"बैंकों द्वारा जारी किए गए सभी उत्तरों से इंकार किया गया है।
### अंतिम जवाब: बैंकों की सलाह दी गई है कि जिन विभागों में जारी करवाए गए उत्तर पर्यवेक्षकों द्वारा मान्यताधिक्य हैं","साथ ही, बैंकों को यह भी सूचित किया गया है कि वे एमएसएमई उधारकर्ताओं को लिखित रूप में मुख्‍य कारण/ कारणों को सूचित करें जिन पर बैंक द्वारा विधिवत विचार किए जाने के बाद ऋण संबंधी आवदेनों को अस्‍वीकृत कि",0,OK
LoRA Fine-tuned,Does RBI have any relationship with GAHs?,en,"Yes. RBI has no relationship with GAHs. However, it is a registered bank with the securities and derivatives market and it is authorised to issue NEFTS (Non-Exchangable Fundamental Entities) and NEFTS","While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, th",0,OK
